STDG_SGG_CD,flood_count,total_flood_area,avg_flood_area,max_flood_area,std_flood_area,avg_flood_depth,max_flood_depth,total_duration_days,avg_duration_days,max_duration_days,first_flood_year,last_flood_year,flood_years_count,annual_flood_frequency,flood_concentration
44133,33,1273380.733,38587.29493939394,110517.4,37007.3662066441,0.8011212121212121,1.954,0.0,0.0,0.0,2017.0,2020.0,2,8.25,16.5
44200,21,618567.333,29455.587285714286,100313.6,32240.293185556126,0.7972380952380953,1.5,0.0,0.0,0.0,2018.0,2020.0,2,7.0,10.5
44230,26,877535.0,33751.346153846156,155646.9,37472.095529694954,0.5267692307692308,0.84,365.0,14.038461538461538,365.0,2019.0,2021.0,3,8.666666666666666,8.666666666666666
44270,39,80601.21493,2066.697818717949,6522.9,1396.5273902697177,0.47525641025641024,0.58,17.0,0.4358974358974359,1.0,2020.0,2022.0,3,13.0,13.0
44790,1546,5832536.6,3772.662742561449,323060.8,11049.442816283232,0.8804780077619664,3.547,1.0,0.000646830530401035,1.0,2022.0,2022.0,1,1546.0,1546.0
44810,50,1090690.0999999999,21813.801999999996,43205.7,12757.008574953003,0.95012,3.937,0.0,0.0,0.0,2020.0,2020.0,1,50.0,50.0
45190,7,9390639.0,1341519.857142857,2130538.2,985551.4697446263,1.8027142857142857,3.654,7.0,1.0,1.0,2020.0,2020.0,1,7.0,7.0
45710,16,195983.9,12248.99375,29531.9,8942.361993229659,0.63775,1.182,0.0,0.0,0.0,2020.0,2021.0,2,8.0,8.0
45720,19,850196.9,44747.2052631579,193278.6,58768.7142368518,0.366,0.492,37.0,1.9473684210526316,3.0,2020.0,2021.0,2,9.5,9.5
45730,817,11147867.72707,13644.880938886168,324375.0,28874.41544865039,0.6364749082007344,1.5,1081.0,1.3231334149326806,3.0,2020.0,2021.0,2,408.5,408.5
45800,4,34245.0,8561.25,12083.0,3060.5605559548508,0.5,0.5,0.0,0.0,0.0,2021.0,2021.0,1,4.0,4.0
46150,39,711135.6,18234.246153846154,98349.3,26041.21587551515,2.825846153846154,5.691,39.0,1.0,1.0,2020.0,2020.0,1,39.0,39.0
46170,387,347697918.3,898444.2333333334,2454810.2,1076935.6868887867,1.0556899224806202,4.681,1161.0,3.0,3.0,2020.0,2021.0,2,193.5,193.5
46230,30,11583837.0,386127.9,386127.9,0.0,1.3130666666666668,3.116,30.0,1.0,1.0,2020.0,2020.0,1,30.0,30.0
46710,206,50993725.1,247542.35485436892,1085022.6,290463.1711677538,1.3961990291262136,4.647,255.0,1.2378640776699028,2.0,2020.0,2020.0,1,206.0,206.0
46720,216,208652655.7,965984.5171296296,1813859.4,763529.188585296,1.6059444444444446,5.117,216.0,1.0,1.0,2020.0,2020.0,1,216.0,216.0
46730,325,196096567.76700002,603374.0546676924,1341232.6,395600.8841123674,1.7548553846153845,5.786,318.0,0.9784615384615385,1.0,2018.0,2020.0,2,108.33333333333333,162.5
46780,19,905366.786,47650.88347368421,106777.2,35070.97635830676,0.6271578947368421,1.3,7.0,0.3684210526315789,1.0,2018.0,2019.0,2,9.5,9.5
46790,18,1441308.1,80072.67222222223,151228.1,61390.10789466488,1.1485555555555556,2.37,28.0,1.5555555555555556,2.0,2020.0,2020.0,1,18.0,18.0
46800,235,8063733.6,34313.76,237221.0,29766.461922983228,1.671212765957447,3.032,470.0,2.0,2.0,2021.0,2021.0,1,235.0,235.0
46810,13,57720.9,4440.069230769231,15825.3,4423.3527011729875,1.5845384615384615,3.448,32.0,2.4615384615384617,3.0,2021.0,2021.0,1,13.0,13.0
46820,117,4302683.543,36775.073017094015,751197.211,70495.14997194154,0.8438205128205128,1.509,0.0,0.0,0.0,2019.0,2019.0,1,117.0,117.0
46830,2,17511.04585,8755.522925,11797.39078,4301.850775487755,0.5,0.5,0.0,0.0,0.0,2020.0,2020.0,1,2.0,2.0
46870,22,9330849.0,424129.5,2658469.0,558705.4485941031,0.5454545454545454,1.0,44.0,2.0,2.0,2020.0,2020.0,1,22.0,22.0
46880,65,922220.7,14188.010769230768,62644.7,16275.340410141225,1.122,2.69,61.0,0.9384615384615385,1.0,2020.0,2020.0,1,65.0,65.0
47111,3,74312.4,24770.8,24770.8,0.0,0.664,1.188,6.0,2.0,2.0,2019.0,2019.0,1,3.0,3.0
47113,67,28475831.9,425012.4164179104,604795.7,225636.77661111407,0.9382089552238806,1.773,117.0,1.7462686567164178,2.0,2019.0,2021.0,2,22.333333333333332,33.5
47130,49,1250650.331,25523.476142857144,156657.059,41768.38777558213,1.1361836734693878,2.776,0.0,0.0,0.0,2018.0,2018.0,1,49.0,49.0
47170,4,4626.8,1156.7,1730.4,563.449134054412,1.1877499999999999,1.878,0.0,0.0,0.0,2021.0,2021.0,1,4.0,4.0
47190,2,10467.101,5233.5505,5808.89,813.6529238689553,0.5875,0.797,0.0,0.0,0.0,2018.0,2018.0,1,2.0,2.0
47750,13,44942.6,3457.123076923077,9114.0,3155.5317130276285,0.6153846153846154,1.0,0.0,0.0,0.0,2021.0,2021.0,1,13.0,13.0
47760,69,771943.9,11187.592753623188,93061.5,21600.76727958659,0.8762898550724637,2.5,69.0,1.0,1.0,2019.0,2019.0,1,69.0,69.0
