BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,SIGUNGU_FNM,AREA,PERIMETER,CODE_DC,SOILDRA
20240630,31170,동구,울산광역시 동구,23401000.00000000000,184414.00000000000,1,매우양호
20240630,31200,북구,울산광역시 북구,136631000.00000000000,753858.00000000000,1,매우양호
20240630,31710,울주군,울산광역시 울주군,279133000.00000000000,1685360.00000000000,1,매우양호
20240630,36110,세종시,세종특별자치시 전체,204669000.00000000000,1141230.00000000000,2,양호
20240630,41111,수원시 장안구,경기도 수원시 장안구,30612900.00000000000,287297.00000000000,2,양호
20240630,41113,수원시 권선구,경기도 수원시 권선구,7545320.00000000000,38597.70000000000,3,약간양호
20240630,41115,수원시 팔달구,경기도 수원시 팔달구,16583300.00000000000,140687.00000000000,2,양호
20240630,41117,수원시 영통구,경기도 수원시 영통구,33623600.00000000000,324438.00000000000,2,양호
20240630,41131,성남시 수정구,경기도 성남시 수정구,75709500.00000000000,526050.00000000000,1,매우양호
20240630,41133,성남시 중원구,경기도 성남시 중원구,233778000.00000000000,1416810.00000000000,1,매우양호
20240630,41135,성남시 분당구,경기도 성남시 분당구,75709500.00000000000,526050.00000000000,1,매우양호
20240630,41150,의정부시,경기도 의정부시,38156000.00000000000,110837.00000000000,1,매우양호
20240630,41171,안양시 만안구,경기도 안양시 만안구,15574100.00000000000,131649.00000000000,1,매우양호
20240630,41173,안양시 동안구,경기도 안양시 동안구,39893700.00000000000,163558.00000000000,1,매우양호
20240630,41192,부천시 원미구,경기도 부천시 원미구,123457000.00000000000,893651.00000000000,2,양호
20240630,41194,부천시 소사구,경기도 부천시 소사구,123457000.00000000000,893651.00000000000,2,양호
20240630,41196,부천시 오정구,경기도 부천시 오정구,123457000.00000000000,893651.00000000000,2,양호
20240630,41210,광명시,경기도 광명시,123457000.00000000000,893651.00000000000,2,양호
20240630,41220,평택시,경기도 평택시,40644000.00000000000,427697.00000000000,2,양호
20240630,41250,동두천시,경기도 동두천시,202921000.00000000000,724845.00000000000,1,매우양호
20240630,41271,안산시 상록구,경기도 안산시 상록구,6863830.00000000000,74663.50000000000,2,양호
20240630,41273,안산시 단원구,경기도 안산시 단원구,25345500.00000000000,44370.90000000000,2,양호
20240630,41281,고양시 덕양구,경기도 고양시 덕양구,85950900.00000000000,771835.00000000000,2,양호
20240630,41285,고양시 일산동구,경기도 고양시 일산동구,85950900.00000000000,771835.00000000000,2,양호
20240630,41287,고양시 일산서구,경기도 고양시 일산서구,56509400.00000000000,252179.00000000000,4,약간불량
20240630,41290,과천시,경기도 과천시,39893700.00000000000,163558.00000000000,1,매우양호
20240630,41310,구리시,경기도 구리시,31891800.00000000000,189323.00000000000,2,양호
20240630,41360,남양주시,경기도 남양주시,155329000.00000000000,536120.00000000000,1,매우양호
20240630,41370,오산시,경기도 오산시,9718280.00000000000,83459.60000000002,2,양호
20240630,41390,시흥시,경기도 시흥시,123457000.00000000000,893651.00000000000,2,양호
20240630,41410,군포시,경기도 군포시,30612900.00000000000,287297.00000000000,2,양호
20240630,41430,의왕시,경기도 의왕시,75709500.00000000000,526050.00000000000,1,매우양호
20240630,41450,하남시,경기도 하남시,233778000.00000000000,1416810.00000000000,1,매우양호
20240630,41461,용인시 처인구,경기도 용인시 처인구,233778000.00000000000,1416810.00000000000,1,매우양호
20240630,41463,용인시 기흥구,경기도 용인시 기흥구,233778000.00000000000,1416810.00000000000,1,매우양호
20240630,41465,용인시 수지구,경기도 용인시 수지구,75709500.00000000000,526050.00000000000,1,매우양호
20240630,41480,파주시,경기도 파주시,215878000.00000000000,1260930.00000000000,2,양호
20240630,41500,이천시,경기도 이천시,30236000.00000000000,339813.00000000000,1,매우양호
20240630,41550,안성시,경기도 안성시,282741000.00000000000,1539230.00000000000,1,매우양호
20240630,41570,김포시,경기도 김포시,71683100.00000000000,419167.00000000000,2,양호
