SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA
50110,2016,10,3074.562
50110,2016,10,692.901
50110,2016,10,1051.958
50110,2016,10,5611.945
50110,2016,10,3607.293
50110,2016,10,5279.359
50110,2016,10,1894.892
50110,2016,10,783.651
50110,2016,10,2190.935
50110,2016,10,1920.681
31710,2016,10,60391.633
48270,2016,10,392268.47
48270,2016,10,82282.36
50110,2016,10,3532.478
50110,2016,10,1033.605
50130,2016,10,20409.234
50130,2016,10,13462.676
46730,2020,8,1.3412326e+06
50130,2016,10,38175.14
50130,2016,10,1653.378
50130,2016,10,15057.425
48890,2020,8,443041.9
48890,2020,8,211918.4
48890,2020,8,466967.4
48890,2020,8,735192.3
48890,2020,8,107092.4
48890,2020,8,551496.1
46880,2020,8,2401.6
46880,2020,8,14764.7
46730,2020,8,807189.5
48890,2020,8,1.2867781e+06
48890,2020,8,408339.3
31710,2016,10,250115.06
31710,2016,10,125991.86
31710,2016,10,56610.18
31710,2016,10,23562.918
31710,2016,10,233184.4
31710,2016,10,199800.42
31710,2016,10,97683.836
43800,2020,8,10511.9
31110,2016,10,102238.82
31110,2016,10,8103.747
31110,2016,10,5533.16
31110,2016,10,7531.977
31140,2016,10,28999.191
31140,2016,10,35441.52
31140,2016,10,25545.262
31140,2016,10,100746.234
31140,2016,10,69793.9
31140,2016,10,22120.164
31140,2016,10,54693.33
31140,2016,10,60620.36
26140,2016,10,16904.686
46720,2020,8,773048.1
46730,2020,8,75565.4
26350,2016,10,1669.128
26350,2016,10,35459.277
26350,2016,10,3965.41
26350,2016,10,6884.538
31140,2016,10,300989.78
31140,2016,10,244750.11
31140,2016,10,146601.83
50110,2016,10,1800.16
50110,2016,10,1637.27
50110,2016,10,2092.39
31110,2016,10,98380.72
31200,2016,10,358709.4
31200,2016,10,299068.66
31200,2016,10,482396.34
43111,2017,7,4571.045
43111,2017,7,6479.057
43111,2017,7,4579.164
43111,2017,7,7188.282
43111,2017,7,4305.122
43111,2017,7,7266.113
43111,2017,7,1653.912
31110,2016,10,6071.212
31110,2016,10,62744.883
31200,2016,10,202649.05
31110,2016,10,8431.232
31110,2016,10,2806.625
31110,2016,10,4482.031
31110,2016,10,6155.371
31110,2016,10,538.909
31200,2016,10,143330.48
43111,2017,7,29303.42
31200,2016,10,296866.2
31200,2016,10,237388.17
43111,2017,7,21364.248
43111,2017,7,20398.98
43111,2017,7,8714.371
43111,2017,7,30402.877
43111,2017,7,682.452
43111,2017,7,105710.12
43111,2017,7,8632.148
43111,2017,7,11799.394
43111,2017,7,2285.179
